NUM_OFS,Nom,Effectif au 1er janvier,Naissance vivante,Deces,Accroissement naturel,t_natalite,t_deces
5401,Aigle,10462,143,77,66,1.366851462,0.735996941
5402,Bex,7845,90,62,28,1.147227533,0.790312301
5403,Chessel,444,7,1,6,1.576576577,0.225225225
5404,Corbeyrier,445,1,5,-4,0.224719101,1.123595506
5405,Gryon,1376,16,6,10,1.162790698,0.436046512
5406,Lavey-Morcles,944,8,10,-2,0.847457627,1.059322034
5407,Leysin,3623,15,29,-14,0.414021529,0.800441623
5408,Noville,1178,13,4,9,1.103565365,0.339558574
5409,Ollon,7624,57,32,25,0.747639035,0.419727177
5410,Ormont-Dessous,1182,18,7,11,1.52284264,0.592216582
5411,Ormont-Dessus,1467,17,19,-2,1.158827539,1.295160191
5412,Rennaz,892,7,4,3,0.784753363,0.448430493
5413,Roche (VD),1867,24,9,15,1.285484735,0.482056776
5414,Villeneuve (VD),5834,77,52,25,1.31984916,0.891326706
5415,Yvorne,1070,6,11,-5,0.560747664,1.028037383
